@relation Name00100

@attribute Channel1-Element1 numeric
@attribute Channel1-Element2 numeric
@attribute Channel1-Element3 numeric
@attribute Channel1-Element4 numeric
@attribute Channel1-Element5 numeric
@attribute Channel1-Element6 numeric
@attribute Channel1-Element7 numeric
@attribute Channel1-Element8 numeric
@attribute Channel1-Element9 numeric
@attribute Channel1-Element10 numeric
@attribute Channel1-Element11 numeric
@attribute Channel2-Element1 numeric
@attribute Channel2-Element2 numeric
@attribute Channel2-Element3 numeric
@attribute Channel2-Element4 numeric
@attribute Channel2-Element5 numeric
@attribute Channel2-Element6 numeric
@attribute Channel2-Element7 numeric
@attribute Channel2-Element8 numeric
@attribute Channel2-Element9 numeric
@attribute Channel2-Element10 numeric
@attribute Channel2-Element11 numeric
@attribute Channel3-Element1 numeric
@attribute Channel3-Element2 numeric
@attribute Channel3-Element3 numeric
@attribute Channel3-Element4 numeric
@attribute Channel3-Element5 numeric
@attribute Channel3-Element6 numeric
@attribute Channel3-Element7 numeric
@attribute Channel3-Element8 numeric
@attribute Channel3-Element9 numeric
@attribute Channel3-Element10 numeric
@attribute Channel3-Element11 numeric
@attribute Channel4-Element1 numeric
@attribute Channel4-Element2 numeric
@attribute Channel4-Element3 numeric
@attribute Channel4-Element4 numeric
@attribute Channel4-Element5 numeric
@attribute Channel4-Element6 numeric
@attribute Channel4-Element7 numeric
@attribute Channel4-Element8 numeric
@attribute Channel4-Element9 numeric
@attribute Channel4-Element10 numeric
@attribute Channel4-Element11 numeric
@attribute Class numeric

@data
9,10,16,419,39,11,7,6,6,7,9,6,7,13,888,28,10,7,7,7,7,7,5,6,10,244,26,8,6,6,6,7,7,4,5,8,269,26,8,7,9,12,10,7,2
10,11,16,226,42,10,6,5,5,7,10,6,7,11,181,37,11,8,8,8,7,6,8,9,14,205,42,11,7,6,6,7,8,5,6,10,161,34,11,9,10,12,11,9,2
9,10,16,455,38,11,7,7,8,11,13,8,9,16,926,35,13,9,8,7,6,5,8,9,15,225,37,12,9,8,8,7,7,6,7,11,248,32,11,9,9,9,7,6,2
8,9,15,239,43,12,8,7,9,12,13,6,7,11,177,38,10,7,6,6,5,5,7,8,13,213,40,12,9,9,10,10,7,6,7,12,200,42,13,11,11,11,9,8,2
5,6,10,162,27,9,7,8,11,13,10,6,7,11,965,25,9,7,7,7,7,7,6,7,11,219,30,10,8,9,10,10,7,8,9,15,403,36,14,11,13,15,11,7,2
5,5,9,142,31,9,8,9,13,13,9,5,5,9,135,29,8,6,5,6,8,8,5,6,10,186,33,10,8,8,8,8,7,7,8,13,213,45,14,11,13,15,12,8,2
6,6,11,211,27,10,8,8,10,12,11,5,6,10,425,26,8,6,6,7,10,10,6,7,11,183,30,10,7,6,6,5,5,7,8,14,209,36,13,11,12,13,12,8,2
5,6,10,158,33,10,8,9,11,10,8,5,6,10,163,31,8,6,6,8,11,9,7,8,13,205,44,13,9,7,6,5,5,7,8,14,238,47,14,11,11,10,9,8,2
6,7,11,179,28,9,6,5,6,6,7,7,8,13,176,28,8,6,5,7,9,8,6,7,12,300,33,11,9,9,9,9,8,8,9,16,272,37,12,9,7,7,7,7,2
7,8,12,180,38,10,7,6,7,9,8,7,8,12,171,36,9,6,5,6,7,8,6,7,12,184,40,11,8,8,9,10,10,6,7,11,164,34,9,7,6,6,7,8,2
7,8,13,268,33,10,7,6,7,8,9,8,10,15,417,35,9,6,5,5,5,6,6,7,13,202,31,11,8,8,9,9,9,6,7,13,1063,29,10,8,8,10,11,10,2
7,8,13,187,39,10,7,6,7,8,9,8,9,14,193,40,10,7,6,6,7,9,6,7,11,170,35,10,7,7,8,11,11,4,5,8,139,28,8,7,7,11,13,9,2
7,8,13,366,36,12,9,8,7,6,6,6,7,12,808,31,9,6,5,6,8,11,7,9,14,266,32,11,8,7,8,8,7,6,6,11,164,27,9,7,7,9,13,14,2
5,5,9,141,30,9,7,7,9,8,7,6,7,12,179,37,10,8,8,10,16,16,6,7,11,181,37,11,8,8,8,8,7,5,6,10,160,34,10,7,7,9,13,14,2
4,5,8,126,22,8,7,8,8,6,5,7,9,14,975,31,11,8,9,12,15,12,7,8,13,487,34,10,7,6,7,8,9,7,8,12,387,30,8,5,5,5,7,11,2
5,6,10,160,35,10,8,8,9,8,7,4,5,8,145,27,8,6,7,11,15,11,7,8,12,182,37,10,7,6,6,7,7,8,9,14,197,40,10,7,6,6,7,10,2
5,6,11,165,29,11,9,9,9,7,6,5,6,10,1303,30,10,7,8,11,13,11,8,9,16,677,31,11,7,6,6,7,7,7,8,13,271,31,9,6,5,5,5,6,0
7,8,13,198,42,12,9,8,7,6,5,7,8,12,181,38,10,7,6,6,7,8,5,6,10,158,34,10,7,8,10,11,9,7,7,12,180,35,9,6,5,6,6,6,0
6,7,12,277,34,12,9,8,8,7,6,9,10,16,311,33,10,7,6,6,7,10,5,6,10,1264,30,10,8,8,11,12,9,6,7,11,180,27,8,6,5,5,6,6,0
7,8,13,203,43,13,10,10,8,6,5,8,9,14,203,41,10,7,6,6,7,10,6,6,11,167,36,11,9,10,12,11,8,5,6,10,150,32,9,6,5,6,6,6,0
6,7,11,757,34,11,8,8,9,8,6,7,8,13,382,27,9,6,5,6,7,8,5,5,9,163,25,9,7,9,15,13,7,6,6,11,186,26,8,5,5,5,7,9,0
8,9,14,213,42,12,8,7,7,8,7,6,7,12,189,38,11,8,7,7,7,8,7,8,13,211,41,12,9,10,10,9,7,6,7,11,165,34,9,7,6,6,7,8,0
9,10,17,653,37,13,9,8,7,7,6,7,7,13,183,30,10,7,5,5,5,5,6,7,12,323,32,10,8,8,9,9,7,7,8,13,182,31,10,7,6,7,8,9,0
8,9,15,226,41,10,7,5,5,5,5,6,7,11,168,36,10,7,6,5,5,6,7,9,14,208,45,13,9,8,8,8,7,7,8,12,182,39,11,7,7,8,9,8,0
10,11,17,298,35,10,7,6,6,7,9,6,6,11,158,27,9,6,6,6,7,9,8,9,14,255,32,9,6,5,5,5,7,6,7,12,302,33,11,9,9,8,7,5,1
8,9,14,211,38,10,6,5,5,7,9,4,5,8,145,25,7,5,4,5,7,9,6,6,10,159,34,9,6,6,6,7,8,5,6,11,184,34,10,8,7,8,8,7,1
7,8,13,277,33,10,7,6,7,9,9,10,11,17,208,34,10,6,5,6,7,9,5,5,9,179,25,8,6,6,7,7,7,6,7,11,176,29,10,7,7,7,7,8,1
6,6,10,177,32,9,6,6,8,10,9,7,8,13,194,39,10,7,6,6,6,7,6,6,11,170,34,9,7,6,6,6,6,5,6,10,162,32,9,6,6,5,6,7,1
6,6,11,160,26,9,7,6,7,8,7,10,11,18,269,36,11,7,6,6,7,8,6,7,12,174,30,10,8,7,7,6,6,5,6,10,1049,27,8,6,5,5,5,7,1
6,7,12,172,34,9,6,5,5,7,9,6,7,12,183,37,10,7,7,7,8,8,7,8,13,191,36,9,6,5,4,4,5,4,4,7,116,24,7,5,4,5,5,5,1
7,8,13,195,31,9,6,6,6,7,9,5,6,11,1124,31,10,7,7,8,9,8,6,7,12,251,27,9,6,5,5,5,5,5,5,9,270,25,8,6,5,5,5,5,1
6,7,12,184,40,11,8,7,7,7,7,7,8,14,215,46,14,10,10,9,8,7,5,5,9,150,32,10,9,10,10,7,5,5,5,9,158,29,8,6,6,6,6,6,1
5,6,10,269,28,9,7,7,8,7,7,8,9,15,275,35,12,9,9,9,8,7,4,5,8,713,25,9,7,9,9,7,5,5,6,10,160,24,7,5,4,4,5,6,1
4,5,9,167,29,9,7,8,8,7,6,6,7,11,189,36,11,9,9,10,9,7,4,5,9,143,32,10,9,10,11,8,6,5,5,9,133,28,7,5,5,5,6,7,1
5,6,10,205,26,8,5,4,4,5,5,6,7,13,182,32,11,8,8,9,10,9,5,6,10,151,26,9,8,9,11,10,8,4,5,8,151,27,8,6,6,7,9,8,1
8,9,14,223,40,10,6,5,5,5,6,7,8,14,212,43,12,9,8,8,9,9,5,6,10,177,34,10,8,8,8,8,7,4,5,8,127,27,8,6,6,8,10,9,1
9,11,17,230,38,11,8,7,7,8,9,9,10,17,258,39,13,9,8,8,9,11,5,6,10,275,28,9,7,7,8,9,8,5,6,10,148,26,9,8,9,11,11,8,1
8,10,15,230,48,12,8,7,8,9,9,12,13,19,249,50,12,7,6,6,7,10,6,7,12,167,36,9,6,6,7,10,14,5,6,9,150,32,10,8,9,11,10,7,1
6,7,11,393,31,10,7,7,7,8,8,13,15,24,537,44,14,9,8,8,9,12,6,6,11,164,26,8,6,5,6,9,13,5,6,10,456,29,10,8,9,11,10,8,1
6,7,11,176,38,11,8,8,8,8,8,9,10,17,237,51,14,9,8,9,10,11,6,7,11,176,33,9,6,5,6,9,15,6,7,12,181,38,11,8,8,8,8,7,1
4,5,9,134,23,8,7,8,10,8,6,7,8,14,282,37,12,9,8,9,9,10,7,8,12,439,33,10,7,7,9,12,13,6,7,12,178,30,10,7,7,7,7,7,1
4,5,9,156,28,9,7,7,9,10,8,6,7,12,187,42,13,11,12,14,11,8,6,7,12,184,38,11,8,8,10,11,10,6,7,12,198,38,11,8,8,9,11,11,1
7,8,13,462,29,10,8,7,8,9,10,6,7,11,196,30,10,9,10,12,11,8,7,8,13,185,32,11,9,9,10,10,8,7,8,13,209,31,10,8,7,8,10,11,1
5,6,9,140,28,7,5,4,4,6,8,6,6,11,175,35,11,8,9,12,12,8,5,5,9,143,32,10,8,10,12,9,6,6,6,11,172,34,10,7,7,8,11,13,1
7,8,14,822,32,11,8,8,8,7,7,6,6,11,174,28,10,8,9,11,9,7,4,5,9,136,22,8,6,6,7,8,7,6,6,11,244,27,8,6,6,7,10,12,1
5,6,10,161,36,12,11,11,8,5,3,5,6,10,155,34,9,7,7,8,8,6,4,4,7,116,23,7,5,5,6,7,7,5,6,10,151,30,8,6,5,6,9,11,1
5,6,10,159,28,11,10,11,9,6,4,5,6,9,192,31,9,8,8,10,8,6,5,6,11,186,30,11,9,9,8,7,6,8,9,14,196,33,10,7,6,6,6,6,1
5,6,10,158,34,10,8,9,9,7,6,5,6,10,152,33,10,8,8,11,12,8,7,9,14,226,50,15,11,9,7,6,6,7,8,13,205,43,12,8,7,6,5,4,1
5,6,9,140,24,8,6,6,7,7,6,5,6,10,159,26,9,7,8,11,10,7,10,11,18,403,41,14,10,8,8,7,8,6,7,12,1097,36,11,8,7,6,5,5,1
5,6,10,152,33,9,7,7,8,8,7,4,5,9,136,30,9,7,7,10,11,9,8,9,14,221,44,12,8,7,7,7,8,7,8,13,194,34,8,5,4,4,4,5,1
6,7,12,651,28,10,8,9,12,10,7,6,6,11,887,25,9,7,8,10,11,9,4,4,7,176,20,6,5,5,6,8,9,7,8,13,182,30,10,7,6,6,6,7,1
6,7,12,194,37,11,8,9,11,10,6,4,5,8,147,27,8,6,7,8,9,7,4,5,8,125,27,7,5,4,5,6,8,5,6,9,166,31,9,7,7,7,7,7,1
6,7,11,1188,32,10,8,8,10,12,10,4,5,9,135,23,8,6,7,8,8,6,5,5,9,189,23,7,5,5,5,6,6,7,8,14,362,33,12,9,9,10,11,11,1
8,9,15,232,47,13,10,9,9,10,9,5,6,10,151,33,10,8,8,10,10,8,6,7,11,202,35,10,7,7,8,10,10,6,7,11,174,36,10,8,8,9,11,10,1
8,9,14,536,34,10,6,5,5,6,7,7,8,13,287,30,10,7,7,7,7,8,6,7,11,275,30,9,6,6,7,11,15,6,7,11,464,30,9,7,6,7,9,10,1
7,8,13,185,38,10,6,5,5,5,6,6,7,11,166,35,9,6,5,5,5,6,5,6,10,173,32,9,7,7,8,11,12,5,6,10,148,32,9,7,7,8,10,10,1
7,8,13,244,28,9,6,5,4,4,5,7,8,14,958,27,9,6,5,5,6,6,6,7,12,223,28,10,8,8,11,14,13,4,4,7,697,21,7,5,5,7,9,7,1
6,6,11,161,35,10,7,6,7,7,8,6,7,11,159,34,8,5,5,4,4,4,4,5,8,124,26,7,5,5,7,9,10,5,6,9,160,31,9,7,7,7,7,7,1
5,5,9,232,26,9,7,7,8,9,7,8,9,15,428,32,11,7,6,6,6,6,4,5,8,144,22,8,6,7,8,8,6,4,4,7,750,21,6,5,4,5,7,9,1
5,6,10,150,32,9,7,7,8,9,8,5,6,10,161,34,10,7,7,8,8,7,5,6,9,148,31,9,7,8,10,10,8,4,5,8,131,26,7,5,5,7,9,10,1
5,6,10,193,33,10,8,8,10,11,9,6,7,11,171,29,10,7,7,8,8,7,6,7,12,170,29,10,8,8,9,10,9,4,5,8,119,19,6,5,5,6,8,9,1
6,6,11,177,35,10,8,9,11,12,9,5,6,10,159,35,10,8,8,10,9,8,5,6,10,169,33,10,8,8,8,9,9,4,4,7,109,23,6,5,5,6,9,10,1
7,8,13,188,33,12,9,10,13,12,10,4,5,8,166,23,8,6,7,9,9,7,7,8,14,644,38,11,8,7,7,8,9,8,9,15,327,32,10,7,6,6,6,7,1
6,7,11,192,38,12,10,12,14,11,8,4,5,9,141,29,9,7,8,10,10,7,6,7,12,193,39,12,9,9,9,9,8,7,8,12,174,36,9,6,4,4,5,5,1
6,7,11,472,32,11,9,10,12,11,8,5,6,10,148,25,9,7,7,9,10,8,8,9,14,790,35,10,7,6,7,9,12,9,10,17,608,33,10,6,5,4,4,5,1
5,6,10,158,35,10,8,8,9,9,8,4,4,7,126,24,7,6,6,8,9,7,8,9,15,227,47,12,8,8,9,12,10,6,7,12,181,38,11,7,6,6,5,5,1
6,7,12,406,34,11,9,8,8,7,6,5,6,10,153,24,8,7,7,8,6,5,7,9,14,213,35,12,9,8,8,9,9,6,7,12,545,35,10,7,6,5,5,4,1
6,7,11,184,37,11,8,9,9,9,7,4,5,8,128,27,8,5,5,6,6,6,6,7,12,197,39,11,8,8,8,8,8,6,7,11,176,35,10,7,7,7,7,6,1
6,7,12,177,30,10,8,8,10,9,7,8,9,15,356,33,12,10,9,8,6,5,6,7,12,442,35,11,8,7,6,5,5,8,9,15,321,33,11,8,8,9,9,7,1
6,7,11,171,37,11,9,9,10,9,7,6,7,12,195,42,13,10,11,10,7,6,6,7,12,189,42,12,9,8,9,8,8,6,6,11,168,34,10,7,8,9,11,10,1
6,7,12,252,30,11,9,10,10,8,6,6,7,12,206,40,12,10,10,11,9,6,7,8,14,189,32,10,7,7,8,9,10,6,7,12,200,31,11,8,8,9,10,9,1
4,5,9,136,28,8,6,6,6,6,6,7,8,13,209,42,13,10,9,9,9,8,5,6,10,158,32,9,6,6,7,9,10,6,7,11,178,39,12,9,9,9,9,10,1
4,5,8,134,22,8,6,6,8,8,7,6,7,11,1041,33,11,9,10,10,8,7,6,7,12,368,26,9,7,7,7,8,9,5,6,10,303,28,10,8,9,10,10,10,0
4,5,8,135,28,8,6,7,8,9,8,5,6,10,160,36,11,10,11,10,7,6,3,4,6,103,20,6,5,5,6,7,7,5,6,10,192,34,10,8,8,9,9,8,0
4,5,9,173,25,8,7,7,8,8,7,7,8,13,208,36,14,12,11,10,8,7,5,5,9,183,22,8,6,6,6,6,6,8,9,15,452,36,14,11,11,10,8,7,0
6,7,11,168,34,10,7,6,7,7,8,7,9,14,233,45,13,10,9,9,7,6,4,4,8,130,25,8,6,6,8,7,5,7,8,14,209,46,13,10,9,10,10,10,0
5,6,10,233,27,9,6,6,6,7,7,7,8,14,228,37,12,9,9,9,9,7,5,6,11,158,27,10,8,9,10,9,6,7,9,14,239,33,11,8,7,8,9,10,0
10,11,17,216,45,10,6,5,4,5,6,6,7,12,200,39,12,10,10,9,9,8,5,6,10,167,33,10,8,9,11,9,6,5,6,10,164,30,8,6,5,6,8,13,0
10,11,17,219,36,10,6,5,4,5,6,7,8,13,629,30,11,8,8,9,10,10,5,6,10,163,27,10,8,9,13,12,8,5,6,10,157,24,8,6,5,7,10,16,0
9,10,15,247,39,10,6,5,4,5,6,5,6,9,141,30,8,6,6,7,11,12,6,6,11,167,36,11,8,10,15,17,10,3,4,6,105,21,6,5,5,8,12,10,0
9,10,16,267,42,11,7,5,5,6,7,4,4,7,132,20,6,5,5,6,11,15,4,5,9,1521,26,8,7,8,12,17,11,4,5,9,389,25,8,7,7,10,11,8,2
6,7,11,170,36,10,7,6,6,7,7,4,5,8,128,26,7,5,6,7,10,10,5,5,9,144,30,9,7,9,13,15,10,5,6,9,153,31,9,7,8,10,10,8,2
7,8,13,292,37,12,9,8,8,7,6,4,5,8,126,21,7,6,6,7,9,9,4,5,8,340,22,7,5,6,8,12,11,5,6,9,233,25,8,6,6,7,8,10,2
5,6,10,154,33,10,8,8,8,8,7,5,5,9,152,29,9,7,8,11,12,10,5,5,9,138,28,8,6,5,5,6,7,4,5,9,134,29,8,6,6,7,9,9,2
8,9,15,388,34,11,8,7,6,6,6,4,5,8,193,24,8,7,8,10,11,9,4,5,8,217,22,7,6,6,7,8,7,4,5,9,129,22,7,6,6,8,11,14,2
6,7,11,181,35,10,8,7,7,6,6,4,4,7,118,25,7,6,7,13,15,9,4,5,9,145,28,8,6,6,7,7,6,4,5,9,141,29,8,7,7,8,10,9,2
8,9,15,1001,33,11,8,7,7,7,7,4,5,8,220,23,8,7,8,12,11,8,4,5,8,170,23,7,6,6,7,7,6,5,6,10,152,26,9,6,6,7,9,10,2
6,7,11,171,36,10,7,7,7,9,9,4,5,8,140,29,9,8,10,11,7,5,5,5,9,153,27,8,6,5,7,9,10,5,6,9,142,30,8,6,5,6,8,10,2
4,5,8,572,23,7,5,5,7,11,12,5,6,10,208,25,10,10,14,13,6,4,9,10,15,258,30,9,6,6,6,9,11,4,5,9,131,22,7,5,5,6,7,8,2
